"property","object"
"http://dbpedia.org/ontology/abstract","Fullmetal Alchemist: Brotherhood (Japanese: 鋼の錬金術師 Hepburn: Hagane no Renkinjutsushi) is an anime series adapted from the Fullmetal Alchemist manga by Hiromu Arakawa. Produced by Bones, the series is directed by Yasuhiro Irie and written by Hiroshi Ōnogi. Fullmetal Alchemist: Brotherhood is the second anime television series based on Fullmetal Alchemist, the first being 2003's Fullmetal Alchemist. Fullmetal Alchemist: Brotherhood is a 1:1 adaptation directly following the original events of the manga. It was first announced in the manga series' 20th tankōbon volume. In Japan, it is differentiated from the 2003 series by the inclusion of the English language title. The series premiered on April 5, 2009 on MBS-TBS' Sunday 5:00 PM JST anime time block, replacing Mobile Suit Gundam 00, and ran weekly until airing its final episode on July 4, 2010. Voice actors Romi Park and Rie Kugimiya reprise their roles as main characters Edward and Alphonse Elric, respectively. On March 20, 2009, it was announced that the English title of the series was Fullmetal Alchemist: Brotherhood and that it would receive its English language premiere on Animax Asia, with Japanese audio and English subtitles, from April 10, 2009 at 8:30 p.m, five days after its Japanese premiere. On April 3, 2009, Funimation announced they would stream English subtitled episodes four days after they air in Japan. Madman Entertainment would also stream it ""within days"" of the episodes airing in Japan. On February 14, 2010, the English dubbed version of the series began its run on Adult Swim. On February 1, 2016, Funimation announced that they would be losing home video and streaming rights to both Fullmetal Alchemist: Brotherhood, and Fullmetal Alchemist the Movie: Conqueror of Shamballa, by March 31, 2016. The series was transferred to Aniplex of America."
"http://dbpedia.org/ontology/director","http://dbpedia.org/resource/Yasuhiro_Irie"
"http://dbpedia.org/ontology/musicComposer","http://dbpedia.org/resource/Akira_Senju"
"http://dbpedia.org/ontology/network","http://dbpedia.org/resource/Japan_News_Network"
"http://dbpedia.org/ontology/network","http://dbpedia.org/resource/Animax"
"http://dbpedia.org/ontology/network","http://dbpedia.org/resource/Tokyo_Broadcasting_System_Television"
"http://dbpedia.org/ontology/writer","http://dbpedia.org/resource/Hiroshi_Ōnogi"
"http://dbpedia.org/property/caption","Cover of the first Japanese DVD volume featuring protagonist Edward Elric"
"http://dbpedia.org/property/content","* The Sacred Star of Milos"
"http://dbpedia.org/property/episodeList","List of Fullmetal Alchemist: Brotherhood episodes#Episodes list"
"http://dbpedia.org/property/episodeList","List of Fullmetal Alchemist: Brotherhood episodes#OVAs"
"http://dbpedia.org/property/episodes",4
"http://dbpedia.org/property/episodes",64
"http://dbpedia.org/property/first",2009-04-05
"http://dbpedia.org/property/first",2009-08-26
"http://dbpedia.org/property/genre","http://dbpedia.org/resource/Adventure_(genre)"
"http://dbpedia.org/property/genre","http://dbpedia.org/resource/Science_fantasy"
"http://dbpedia.org/property/jaKanji","鋼の錬金術師 FULLMETAL ALCHEMIST"
"http://dbpedia.org/property/jaRomaji","Hagane no Renkinjutsushi"
"http://dbpedia.org/property/jaRomaji","FULLMETAL ALCHEMIST"
"http://dbpedia.org/property/last",2010-07-04
"http://dbpedia.org/property/last",2010-08-25
"http://dbpedia.org/property/producer","Hirō Maruyama"
"http://dbpedia.org/property/producer","Nobuyuki Kurashige"
"http://dbpedia.org/property/producer","Noritomo Yonai"
"http://dbpedia.org/property/producer","Ryo Ōyama"
"http://dbpedia.org/property/runtime","-1800.0"
"http://dbpedia.org/property/studio","http://dbpedia.org/resource/Bones_(studio)"
"http://dbpedia.org/property/title","Anime film"
"http://dbpedia.org/property/type","ova"
"http://dbpedia.org/property/type","tv series"
"http://dbpedia.org/property/writer","Hiroshi Oonogi"
"http://dbpedia.org/property/writer","Shoutarou Suga"
"http://purl.org/linguistics/gold/hypernym","http://dbpedia.org/resource/Adaptation"
